微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KbABh2kv5,【当心！这些都是涉嫌非法社会组织】#民政部公布11个涉嫌非法社会组织#，包括中华诵读联合会、中国现代硬笔书法研究会、中国室内装修协会、中国教师发展研究会等。如发现下列组织的活动线索，请登录“中国社会组织政务服务平台”（http://t.cn/zOPF5gF）进行投诉举报。戳名单↓↓谨防受骗！  原图 ,,http://wx3.sinaimg.cn/large/0033ImPzgy1gposqtthg1j60m80vi43x02.jpg,无,无,2021-04-19 09:12,微博 weibo.com,9500,1429,685
KbAsRaOVP,【隐秘而伟大！今天，致敬#现实版伪装者#】在近日公示的“中国青年五四奖章”入围名单中，国安干警一张没露脸的“肖像照”引发关注，有网友留言：虽不知道你的样子，但我知道你是英雄。国安警察出场自带“马赛克”，是#极少穿警服的人民警察#。他们隐没于人海之中，用背影守护国家安全。向他们致敬！  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/0033ImPzgy1gpornoxsj0j60m80zzam802.jpg,http://ww3.sinaimg.cn/large/0033ImPzgy1gpornory0pj60m80zzage02.jpg,http://ww2.sinaimg.cn/large/0033ImPzgy1gpornov364j60m80zzqc402.jpg,http://ww3.sinaimg.cn/large/0033ImPzgy1gpornoqgs4j60m80zzwkb02.jpg,http://ww2.sinaimg.cn/large/0033ImPzgy1gpornop02xj60m80zz0ya02.jpg,http://ww2.sinaimg.cn/large/0033ImPzgy1gpornot0vcj60m80zzdmp02.jpg,http://ww4.sinaimg.cn/large/0033ImPzgy1gpornpeckfj60m80zzqaf02.jpg,http://ww2.sinaimg.cn/large/0033ImPzgy1gpornp456jj60m80zzn2z02.jpg,http://ww3.sinaimg.cn/large/0033ImPzgy1gpornp8q4tj60m80zz0x902.jpg",无,无,2021-04-19 08:52,微博 weibo.com,71893,8042,3215
KbAhnAQc0,【人民日报：#新冠疫苗接种不是选择题而是必答题#】如果不尽快建立起免疫屏障，就有可能形成一个免疫洼地。重新打开国门是必然趋势，而目前我国绝大多数人尚处于没有免疫的状态。只有通过大规模疫苗接种实现群体免疫，才能完全打开国门。因此，我们必须把握窗口期，加快推进接种疫苗，才能有效抵御疫情输入的风险，在全球疫情防控中跑赢下半场。 http://t.cn/A6cKDP7C ,,无,无,无,2021-04-19 08:23,微博 weibo.com,4942,867,1062
KbA6OvCYz,【愿平安！#蒙古国草原大火已蔓延至中国境内#】当地时间19日凌晨0时20分许，蒙古国媒体发布消息说，18日苏赫巴托省达里岗嘎县发生的草原大火肆虐该县多地后，经过额尔登查干县，目前已蔓延至中国境内。18日，蒙古国方面收到紧急求助信息后，立即开展扑救工作。因风力较大，扑灭作业难度增加。目前扑救工作仍在进行中。http://t.cn/A6cKBYFb 原图 ,,http://wx1.sinaimg.cn/large/0033ImPzly1gpopyivnmvj60ws0j3ju302.jpg,无,无,2021-04-19 07:57,微博 weibo.com,10013,914,1487
KbzWamPyP,【博鳌来了！#9组数字了解2021博鳌亚洲论坛#】时隔两年，博鳌亚洲论坛2021年年会如约而至。作为当前全球最大规模线下会议，论坛云集全球政商学界代表，亮点频出：1大主题、6大板块、17个“潮流议题”、63场活动...为期4天的#博鳌亚洲论坛论什么#？更多#博鳌亚洲论坛20周年#精彩看点，戳图了解↓↓  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/0033ImPzly1gpopbh9xqej60m80xc7ei02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gpopbhc9e4j60m80xc4cl02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpopbh469sj60m80xctdc02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpopbhdyymj60m80xc47p02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpopbhd7m7j60m80xc7d402.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpopbh9eiej60m80xcqcm02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpopbhdi6qj60m80xcqc002.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gpopbhi8ndj60m80xc44502.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpopbhq4tnj60m80xcqe602.jpg",无,无,2021-04-19 07:31,微博 weibo.com,2677,1068,375
KbzJpm0hH,【你对待生活的态度，决定了你人生的高度】人生在世，挫折难免。无论顺境逆境，无论得意失意，请学着用积极的态度面对，要相信每段经历都会是你的财富。你以什么态度面对人生，它就会如何回应你。从今天开始，用感恩的心对待他人，用上进的心要求自己，用欣赏的心珍惜美好，用期待的心拥抱未来。早安。  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/0033ImPzly1gpooce1igej60m80qjmza02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpooce08dcj60m80qjgnc02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpooce1ifij60m80qj40802.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpooce007sj60m80qjgnc02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpooce1nguj60m80qj75w02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpooce0ai6j60m80qjq4p02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpooce6jcoj60m80qjq4v02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gpooce5z1ej60m80qjgnc02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpooce60dej60m80qj75t02.jpg",无,无,2021-04-19 07:00,微博 weibo.com,6624,3844,1412
KbwX67QGV,【#你好，明天#】在近日公示的“中国青年五四奖章”入围名单中，一张没有清晰五官的轮廓照引人关注。我们看不清他的真实容颜，却能感受到那颗隐秘而伟大的中国心。他是国安“尖兵”，默默守护万家灯火，将青春融进壮阔山河。“什么也不说，祖国知道我”，向所有坚守在国安战线的无名英雄致敬！  原图 ,,http://wx1.sinaimg.cn/large/0033ImPzly1gpoc642p7ej60m80yo0vr02.jpg,无,无,2021-04-18 23:55,微博 weibo.com,17238,1643,1414
KbwRp4pmZ,【#人民锐评#：切除港大学生会“毒瘤”，还校园一片安宁】日前，香港大学学生会发表公开信，公然抹黑学校推行国安教育课程是“断送院校自主”“愧对学士先贤”。在出台香港国安法、完善选举制度为香港拨云见日之时，港大学生会仍旧贼心不死、逆势而行，不断传播反动思想，妄图蛊惑更多学生登上贼船，妄图将高校绑上罪恶战车，进而积蓄“继续革命”的黑色能量。这些人根本不是什么学生，而是藏匿在校园中的暴徒。误入歧途的香港教育，必须经历一场大刀阔斧的改革，让毒教师、毒学生会失去存身之所，还校园以安宁，还香港以希望。http://t.cn/A6cKoMjx 原图 ,,http://wx4.sinaimg.cn/large/0033ImPzly1gpobriko4lj60ss17kjvd02.jpg,无,无,2021-04-18 23:41,微博 weibo.com,6371,608,807
KbwFpxp7o,【夜读：你若平和踏实，人生皆是欢喜】在人生的旅途中，没有人可以准确预料前方会发生什么，是坦途还是逆境。但我们能做的，就是握紧手上的幸福，丢掉侥幸的毛病，脚踏实地往前走。生活的喜怒哀乐，都是自己亲手来播种。愿我们都能成为幸福麦田的守望者。共勉。 【夜读】你若平和踏实，人生皆是欢喜  ,,无,无,无,2021-04-18 23:12,微博 weibo.com,5198,2002,890
KbwnstDg2,【又一次！#台湾花莲县6.1级地震#】中国地震台网正式测定：4月18日22时14分在台湾花莲县（北纬23.94度，东经121.43度）发生6.1级地震，震源深度5千米。愿平安！  原图 ,,http://wx2.sinaimg.cn/large/0033ImPzly1gpo9mj3wl0j60j60eeq4502.jpg,无,无,2021-04-18 22:27,微博 weibo.com,4845,381,1121
KbwkYtdxJ,【快讯：#台湾花莲县5.6级地震#】中国地震台网正式测定：4月18日22时11分在台湾花莲县（北纬23.92度，东经121.53度）发生5.6级地震，震源深度7千米。  原图 ,,http://wx4.sinaimg.cn/large/0033ImPzly1gpo9gcmnonj60j60eejsl02.jpg,无,无,2021-04-18 22:21,微博 weibo.com,3002,280,761
Kbwjr64J8,【#vlog带你打卡博鳌论坛现场#】#博鳌亚洲论坛20周年#，本届年会是全球首个以线下会议为主的大型国际会议。初步统计，共有来自60多个国家和地区的2600多名代表参会。今年各分论坛都有啥亮点？戳视频↓↓（人民日报记者何洁琼、左潇） 人民日报的微博视频  ,,无,无,无,2021-04-18 22:17,微博视频号,2467,235,214
Kbw9w9OFS,【#新疆32岁辅警执勤中牺牲#】据@平安天山 ，4月17日凌晨，正在执勤的新疆轮台县公安局辅警杨海辉突感身体不适，被同事紧急送医救治，12时50分因抢救无效去世，年轻的生命永远定格在32岁。杨海辉挚爱工作，疫情爆发后，主动请缨在隔离点维持秩序，帮助送餐，环境消杀，一待就是50天。一路走好！  原图 ,,http://wx1.sinaimg.cn/large/0033ImPzly1gpo8mjy2bmj60b40ett9102.jpg,无,无,2021-04-18 21:53,微博 weibo.com,64122,3270,11103
Kbw1FdKef,【#男子光天化日抢孩子被提起公诉#】近日，天津市南开区人民检察院针对一起拐骗儿童案件，以拐卖儿童罪对泮某某提起公诉。这起案件发生在天津市的闹市区，让人心惊的是，犯罪嫌疑人竟然在光天化日之下抢夺孩子。检察官提醒：嫌犯一般把作案目标定位在老人或单独带孩子的妇女。新华网的微博视频  ,,无,无,无,2021-04-18 21:34,微博视频号,22989,1250,1979
KbvNpCWEM,【#中科院一篇博士论文致谢走红#：把书念下去，然后走出去，不枉活一世】“二十二载求学路，一路风雨泥泞，许多不容易。如梦一场，仿佛昨天一家人才团聚过。”近日，中国科学院自动化所一篇博士论文的致谢部分在网上引发热议。作者回顾自己如何一路走出小山坳、和命运抗争的故事，打动了大批网友。结尾写道：“理想不伟大，只愿年过半百，归来仍是少年，希望还有机会重新认识这个世界，不辜负这一生吃过的苦。最后如果还能做出点让别人生活更美好的事，那这辈子就赚了。”（澎湃新闻） [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/0033ImPzly1gpo71k96zhj60sg16i4bd02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gpo71m1jyuj60kl0fwgo302.jpg",无,无,2021-04-18 20:59,微博 weibo.com,20880,4787,1502
Kbvy9t5tW,【紧急寻人！#湖北襄阳4岁男孩失踪已8天#】湖北保康县警方接报警称，4月10日9时许，4岁男孩张荣耀跟随其大爷张贵林，在县城关镇官山林场至茶庵路段摘香椿时走失。孩子身高1米，平头，走失时身穿橙黄色方块图案羽绒袄，浅蓝色牛仔裤，黑色运动鞋。如有线索，请联系杜修良13972095783。帮忙扩散！  原图 ,,http://wx2.sinaimg.cn/large/0033ImPzly1gpo5y9hh9kj60j60rcq4s02.jpg,无,无,2021-04-18 20:21,微博 weibo.com,5808,3817,966
Kbvhqhspz,【#五一火车票卖了前年同期3倍多# 你的计划是？】4月17日开始，5月1日的火车票正式开始发售。截至17日下午6点，共发售5月1日车票315万张，是2019年同期的3倍以上。今年五一假期，以跨省游为主的长线游非常明显，相关统计显示，约七成人群选择跨省游。#五一假期你计划做啥#？ 五一火车票卖了前年同期3倍多 你的计划是？  ,,无,无,无,2021-04-18 19:40,微博 weibo.com,32341,358,888
KbuUtsC2e,【#大湾区的美食你最爱哪一道#】车仔面、蒸肠粉、厚街濑粉、薄皮鲜虾饺、东坡梅菜扣肉、黄金酥丸、艇仔粥、荷香糯米鸡、蟹煲鸡、鼎湖上素、九江煎堆、炸牛奶、荷塘鱼饼、杏仁饼、钵仔糕、虾米糍、葡式蛋挞、猪扒包、蛋牛治、炸蚝饼……有你的最爱吗？ #大湾区大未来#  人民日报的微博视频  ,,无,无,无,2021-04-18 18:43,微博视频号,16352,4231,2380
KbufuyBma,【#摄影师告诉你在故宫怎样拍到猫#】故宫有200多只猫，为什么你去了一只都看不到？宠物摄影师克查2017年开始拍摄故宫猫，他说，走常规游客路线几乎与猫无缘，熙和门、协和门和珍宝馆都有机会遇到猫。在故宫的这些猫中，“如意”因为贪吃，是最容易出现的猫。一手Video的微博视频  ,,无,无,无,2021-04-18 17:02,微博视频号,42672,3892,2140
KbtZXhAWO,【知恩图报！ #残疾男子5年还清乡邻12万元手术捐款#】江苏响水县蔡学左2016年底突患主动脉栓塞高位截肢，亲友乡邻捐助他12.38万元做手术和治疗。出院后，蔡学左将捐助过他的人的姓名、金额一一记下。靠着种地、妻子捡废品和儿女的收入还债，清明前夕，蔡学左还完了最后一笔善款。江苏新闻的微博视频  ,,无,无,无,2021-04-18 16:24,微博视频号,6463,346,449
KbtGT2YPd,【#北京已有1280.72万人打新冠疫苗#】北京市卫健委消息，截至4月17日，北京市累计报告接种新冠病毒疫苗2066.41万剂次，累计接种1280.72万人。你打疫苗了吗？  原图 ,,http://wx4.sinaimg.cn/large/0033ImPzly1gpnxrivsgfj60ob0obk0y02.jpg,无,无,2021-04-18 15:37,微博 weibo.com,2497,227,755
KbtvsqjIX,【大场面！#3000多学生课间操玩真人版贪吃蛇#】17日，山西省忻州市高级中学开展创意课间操活动，高一和高二共3000余名学生一起玩“贪吃蛇大作战”，场面十分壮观。老师介绍每周六上午会开展创意课间操活动，丰富课余生活，调节学生心情。网友：有的同学没有被吃到！扬子晚报的微博视频  ,,无,无,无,2021-04-18 15:09,微博视频号,56564,1847,2209
KbtnhCYee,【厉害！#军犬演练解救人质咬断绳子比剪刀还快#】军犬不仅能协助官兵巡逻、追踪，还能完成解救任务。当“人质”的嘴被毛巾堵住，军犬“剑雷”冲锋跃起，叼毛巾咬绳索，简直快如闪电。戳视频↓↓央视军事的微博视频  ,,无,无,无,2021-04-18 14:49,微博视频号,4058,444,456
Kbtb8FVwB,【满满的骄傲！#姐姐偶遇消防员弟弟激动拍给母亲#】近日，海南陵水，一位姐姐在酒店工作，偶遇消防员弟弟开展消防演练，想到妈妈没有看过儿子工作的样子，她便激动地拍视频发给妈妈。“我们挺为他骄傲的，希望弟弟和战友每次执行任务都能平安归队。”（中国青年报）  人民日报的微博视频  ,,无,无,无,2021-04-18 14:19,微博视频号,12770,473,579
KbsRBb69n,【#爷爷四季骑三轮送小女孩上学# 网友：想自己爷爷了】2人，3轮，4季。浙江杭州，一位网友说在送完孩子上班路上，经常碰到一位爷爷骑三轮送小女孩上学，感觉画面温馨感人，就记录了下来。网友：风里雨里，爷爷陪你！中新视频的微博视频  ,,无,无,无,2021-04-18 13:31,微博视频号,16609,895,950
Kbsso4bFE,【生日快乐！跟翻译“倔”了一辈子，#翻译家许渊冲100岁了#】今天，是许渊冲先生百岁生日。他在中外文化互译的舞台上躬身治学八十余载。耄耋之年，他仍然制定了“每天翻译1000字”的工作计划，93岁时制定了翻译莎士比亚全集的目标。“人生最大的乐趣，就是和喜欢的在一起，做喜欢做的事。把一个国家创造的美，转化为全世界的美，这是全世界最大的乐趣。”http://t.cn/A6coWeRi  http://t.cn/A6cou2f8 ,,无,无,无,2021-04-18 12:28,微博视频号,29730,5212,1951
KbrLgso5W,#大湾区大未来#【震撼航拍！#被称风中穿针海底绣花的超级工程#】深中通道项目建成后，深圳到中山车程将缩至20分钟。该项目被形象地称作“风中穿针、海底绣花”，拥有世界最大跨径海中悬索桥、世界最高海中大桥、世界首例高速公路水下互通立交…为“超级工程”点赞！人民网的微博视频  ,,无,无,无,2021-04-18 10:42,微博视频号,9184,1669,830
KbrFmlzoW,【#中美发表应对气候危机联合声明#】中国气候变化事务特使解振华与美国总统气候问题特使约翰·克里于2021年4月15—16日在上海举行会谈，讨论气候危机所涉问题。会谈结束后，双方发表中美应对气候危机联合声明。全文↓↓http://t.cn/A6copakQ  原图 ,,http://wx2.sinaimg.cn/large/0033ImPzgy1gpnotoyw3yj60u019o13l02.jpg,无,无,2021-04-18 10:28,微博 weibo.com,4508,385,464
Kbrpluiow,【这个转身太赞！#男生体育中考看同学摔倒转身扶起#】15日，河南洛阳，2021年中招体育考试中，一名学生在中长跑项目中突然摔倒，已冲出三四米远的张蓬超看见后，立即转身将他扶起。事后张蓬超说，“当时心里没多想，看到同学摔倒，就想着得赶紧把他扶起来，毕竟中长跑只有一次测试机会，对我们谁都很重要。”据了解，最后张蓬超同学长跑单项取得满分http://t.cn/A6copPws ,,无,无,无,2021-04-18 09:48,微博视频号,21522,2802,1172
KbraI21YE,【周知！#哪些人更容易得胃癌#？】近年来胃癌有年轻化趋势，直系亲属有胃癌史、上腹部不适或疼痛的人群要尤其注意。胃癌是先天和后天综合作用的结果，饮食不规律、喜食油炸腌制食品等会提高胃癌患病率。经治疗，#早期胃癌5年存活率大于90%#，因此胃镜检查非常重要。呵护你的胃，一起了解↓↓#医点就通#  http://t.cn/A6coWdCX ,,无,无,无,2021-04-18 09:12,微博视频号,2886,923,555
KbqYQfq6F,【外交部副部长乐玉成：#我们对他国不仰视不俯视而是平视#】外交部副部长乐玉成：没有哪个国家可以高人一等，高高在上，更不应该把其他国家分成三六九等，贴上“威权国家”“失败国家”甚至“无赖国家”等各种标签。中国对世界各国一视同仁、平等相待。#我们对他国既不仰视也不俯视而是平视#。  原图 ,,http://wx2.sinaimg.cn/large/0033ImPzgy1gpnlst2rfuj612v0nddij02.jpg,无,无,2021-04-18 08:43,微博 weibo.com,4190,477,496
KbqT75Ily,【外交部副部长乐玉成：#我们不认为国强必霸但坚信国霸必衰#】4月16日，外交部副部长乐玉成接受美联社专访谈及中国外交政策时表示，我们的确比过去富了、强了，但我们富而不骄、强而不霸。我们不认为国强必霸，但我们坚信国霸必衰。中国的发展不是为了超越谁、取代谁，也不是为了和谁争世界老大，而是为了让中国人民过上更好的日子，为了推动构建人类命运共同体。 原图 ,,http://wx1.sinaimg.cn/large/0033ImPzly1gpnle72o1ij612z0qrjvi02.jpg,无,无,2021-04-18 08:29,微博 weibo.com,5023,690,494
KbqJaFFl5,【人民日报钟声：日方决定将核污染水排海，良知尚在否】全世界迄今没有将核事故产生的污染水排向海洋的先例。福岛第一核电站发生了最高等级的核事故，其产生的核污染水同正常运行的核电站废水完全是两码事。日方将核污染水排向大海，幻想一倒了之，实则自欺欺人。#人民日报质问日方良知尚在否#？奉劝日本政府认清自身责任，在各方协商一致的基础上再慎重决策，在此之前不得擅自排放。 http://t.cn/A6coNsiL ,,无,无,无,2021-04-18 08:04,微博 weibo.com,4518,678,664
Kbqur04nN,【关注！#18个关键词前瞻博鳌亚洲论坛#】今年是#博鳌亚洲论坛20周年#。20年来，博鳌论坛积极推动亚洲各国加强合作，更不断拓展“朋友圈”，为解决全球性问题贡献“博鳌智慧”。双循环、碳中和、RCEP、大湾区、新冠疫苗、网红经济...今年论坛将关注哪些热点？又有哪些新议题？紧跟时事，戳图了解↓↓  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/0033ImPzly1gpnjlvigqqj60m81qsb1002.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpnjlvimddj60m81qse6v02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gpnjlvhgklj60m81qsx4h02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpnjlvibymj60m81qs7u902.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpnjlvfkoyj60m81qsx6302.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gpnjlvdmu2j60m81qsx4s02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpnjlw63naj60m81qstz402.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpnjlvz7xoj60m81qsaz402.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpnjlw0w9pj60m81qse5w02.jpg",无,无,2021-04-18 07:28,微博 weibo.com,7543,3791,500
KbqiYC0Q4,【你可以一成不变，也可以选择改变】闹钟响了就起床，不拖拉；工作时保持专注，减少刷社交网络的频率；改变自我对话方式，多想积极一面；到点就放下手机，选择不熬夜......如果不喜欢自己现在的状态，就去寻求解决之道。改变生活的9个细节↓想一下子就脱胎换骨很难，但我们可以每天改变一点点。早安。  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/0033ImPzly1gpnitb2d7tj60m80rs15402.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gpnitb0ycbj60m80rs45002.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gpnitb04b0j60m80rsahe02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gpnitb0rcyj60m80rstf202.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gpnitb101lj60m80rswl902.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gpnitb17acj60m80rsgst02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpnitb74qqj60m80rswlk02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gpnitb6yr2j60m80rsdmu02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gpnitb89c0j60m80rstft02.jpg",无,无,2021-04-18 07:00,微博 weibo.com,8081,4471,1554
KbqgtvaTz,【#外交部发言人回应美日领导人联合声明#】外交部发言人就美日领导人联合声明涉华消极内容答记者问表示，美日联合声明粗暴干涉中国内政，严重违反国际关系基本准则。中方已通过外交渠道向美、日表明严正立场。美日嘴上鼓吹“自由开放”，实则拉帮结伙搞“小圈子”，煽动集团对抗，这完全是逆时代潮流而动，只会让世人越来越看清“美日同盟”危害地区和平稳定的本质和图谋。中方将采取一切必要措施，坚决捍卫国家主权、安全和发展利益。 原图 ,,http://wx1.sinaimg.cn/large/0033ImPzly1gpnik4k7e0j60md0l4jt702.jpg,无,无,2021-04-18 06:54,微博 weibo.com,5409,961,549
KbniRmxGK,【#你好，明天#】“本文不必参考任何文献”，看到论文作者是中国力学大师钱伟长，网友大呼失敬。从弃文从理到负笈美国，从学成回国到科学报国，钱老毕生践行“国家需要的，我都干”。把名利看得轻，把国家看得重，这是最深沉的家国大义。“繁霜尽是心头血，洒向千峰秋叶丹”，向爱国科学家致敬。http://t.cn/A6cSQBKk ,,无,无,无,2021-04-17 23:21,微博视频号,16017,1696,918
Kbn67yK5r,【夜读：为什么感觉自己很聪明，却总不如别人厉害？】人生这条赛道，你还要跑很远很远，不可能凭着一点聪明就一直领先。如果你觉得自己在某个领域领悟得比别人更快，不要因此就沾沾自喜；如果发现自己做事比别人慢半拍，也别急着否定自己。因为在努力面前，聪明有时候不值一提。 【夜读】为什么你感觉自己很聪明，却总不如别人厉害？  ,,无,无,无,2021-04-17 22:50,微博 weibo.com,5261,1890,921
KbmTx7WOD,【#人民锐评#：#美西政客为何选择跟罪犯站在一起#】醉翁之意不在酒。外部势力一次又一次要求释放乱港分子，归根结底是因为此举拔掉了他们在港的棋子；他们一而再再而三地为暴徒撑腰、拿香港说事，归根结底是不愿放弃将香港作为反中的前沿阵地；从插手香港，到染指台湾，再到抹黑新疆，归根结底是为了遏制中国发展。美国人权自由状况一地鸡毛，疫情恶化势头并未扭转，有网友质问美国政客为什么不与美国人民站在一起。我们也奉劝美西方一些政客：先管好自家后院，别老对他人指指点点。http://t.cn/A6cSk6gx 原图 ,,http://wx2.sinaimg.cn/large/0033ImPzgy1gpn3gnwk4lj60rs18gtl602.jpg,无,无,2021-04-17 22:19,微博 weibo.com,3619,390,419
KbmHG0iho,【#隐秘而伟大的中国心#】在近日公示的第25届“中国青年五四奖章”入围名单中，有张没露脸的肖像照。什么也不说，祖国知道我。#五四奖章入围名单里有张剪影肖像照#  原图 ,,http://wx3.sinaimg.cn/large/0033ImPzgy1gpn2we9z4qj60m80yo0vr02.jpg,无,无,2021-04-17 21:50,微博 weibo.com,30241,2411,1775
KbmAz3niA,【收藏了解！#各年龄段癌症筛查重点#】如今，癌症越来越有年轻化的趋势。专家建议：#女性超35岁应每半年一次妇科检查#；40岁以上应重点关注心脑血管、高血压和糖尿病；条件允许时，50岁以上建议尽早做胃肠镜筛查......自己或亲友体检时，该关注哪些项目？戳视频↓↓了解各年龄段体检筛查重点！ http://t.cn/A6cSrbW5 ,,无,无,无,2021-04-17 21:32,微博视频号,66852,21375,3039
KbmsceFTB,【#中国飞机特种邮票发行#】4月17日，《中国飞机（三）》特种邮票正式公开发行。邮票选择了代表新中国航空工业发展最新成就的四个机型：歼20隐身战斗机、运20大型军用运输机、直20战术通用直升机、大型水陆两栖飞机（AG600），体现了“大国重器”的科技感和力量感。（人民日报记者邱超奕）  http://t.cn/A6cSBPBq ,,无,无,无,2021-04-17 21:12,微博视频号,2541,438,316
KbmeNwqPK,【出发！#五一国内出游有望达2亿人次#】从旅游目的地搜索量、航班和酒店预订量等先行指标来看，#今年五一有望成史上最热黄金周#，出游人次或达到两亿。其中，红色旅游、跨省长线游、探秘新秘境等广受青睐。#还有两周五一小长假#，你这个假期有啥计划？央视网快看的微博视频  ,,无,无,无,2021-04-17 20:39,微博视频号,28288,1830,4170
Kbm4Xl2KW,【正在直播：慢直播看火星新月的“超级约会”】4月17日晚间，一场#新月掩火星#的精彩天象上演，我国海南、云南等低纬度地区可观测，#北京火星合月极近#的情景将出现。@人民日报 和你一起，共赏一段浪漫的星月童话！ 人民日报的微博直播  ,,无,无,无,2021-04-17 20:14,微博原生直播,5253,430,1067
KblZ784Vt,【什么都能飞上天！#潍坊风筝把天空变成了大海#】4月17日，第38届潍坊风筝会开幕。小丑鱼、鱿鱼、鲸鱼，还有骆驼、骏马…不管是啥，在这里都能飞上天，跟太阳肩并肩。#潍坊放风筝可以有多硬核#？一起围观↓↓@齐鲁晚报  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/0033ImPzgy1gpmzq5e6g2g607e0alnpd02.gif,http://ww1.sinaimg.cn/large/0033ImPzgy1gpmzq5i1rmg60ex08eqv502.gif,http://ww3.sinaimg.cn/large/0033ImPzgy1gpmzq3if1bg60ax065npd02.gif,http://ww4.sinaimg.cn/large/0033ImPzgy1gpmzq5j77mg60j10apnpd02.gif,http://ww1.sinaimg.cn/large/0033ImPzgy1gpmzq4v157g60e7080u0x02.gif,http://ww4.sinaimg.cn/large/0033ImPzgy1gpmzq3pq8wg60bi06hnpd02.gif,http://ww4.sinaimg.cn/large/0033ImPzgy1gpmzq4r1jhg60he09q1ky02.gif,http://ww1.sinaimg.cn/large/0033ImPzgy1gpmzq5mdg6g60i50ao1l002.gif,http://ww2.sinaimg.cn/large/0033ImPzgy1gpmzq5ikgsj60u01vctf902.jpg",无,无,2021-04-17 20:00,微博 weibo.com,50825,5332,4523
KblKb3LXN,【全球三千多湾区，#粤港澳大湾区凭啥跻身四大#？】这里是粤港澳大湾区，它由9个珠三角城市、2个特别行政区组成，是世界四大湾区之一。这里是我国开放程度最高、经济活力最强的区域之一。戳视频，看#大湾区大未来#↓↓澎湃新闻的微博视频  ,,无,无,无,2021-04-17 19:23,微博视频号,17656,1919,1887
KblyXtpN9,【#物理考5分的钱伟长转物理系的原因#：#钱伟长说国家需要什么搞什么#】钱伟长中文历史双百考入清华，物理只考了5分。“九一八”事变后，他毅然转到物理系。毕业时，他是清华物理系最优秀的学生。关于所学，他说：国家需要什么，搞什么。致敬！#本论文不必参考任何文献# 央视频的微博视频  ,,无,无,无,2021-04-17 18:55,微博视频号,213207,13578,4521
KblsUe7D5,【心疼又好笑#高空索降军犬抱紧特战队员胳膊#】跟武警特战队员一起进行高空索降训练是种什么体验？军犬“司徒”：别问，问就是瑟瑟发抖，只想抱紧他的胳膊不放别笑话我，其实只要顺利落地，我也能立刻切换到勇猛模式，迅速完成任务！央视军事的微博视频  ,,无,无,无,2021-04-17 18:41,微博视频号,17235,1257,890
KblfOpw7c,【#大熊猫称重时的可爱操作#】iPanda熊猫频道的微博视频  ,,无,无,无,2021-04-17 18:08,微博视频号,6949,836,832
Kbl8uiBnR,【#中国经济15个月持续复苏# 今年一季度迎“开门红”】中国国家统计局16日公布一季度经济数据，一季度国内生产总值（GDP）同比增长了18.3%，比2020年四季度环比增长0.6%，比2019年一季度增长10.3%，两年平均增长5.0%，表明我国经济稳定恢复。海客新闻的秒拍视频  ,,无,无,无,2021-04-17 17:50,微博视频号,2025,285,256
